#Ch. # 	 t 	 E(t) 	 A_0 	 E(A_0) 	 t_p 	 E(t_p) 	 k3 	 E(k3) 	 k4 	 E(k4) 	 k5 	 E(k5) 	 k6 	 E(k6) 	 Chi2/DOF
0	5.042449436	0.008718757516	88653.63018	423.9059533	2.234734331	0.01036369894	0.9150505107	0.02390906126	1.196717136	0.02905374592	0.139038399	0.01858355092	0.1349662148	0.01772952858	9.392679144
1	5.090997949	0.008575892715	76648.02271	468.2245752	1.988275738	0.006441906394	0.1332282153	0.002466515712	0.1406101083	0.002623882301	-0.1636513393	9.491423108e-07	-0.1636507007	9.498045732e-07	9.716472084
2	4.992643158	0.01352140722	59307.73935	22912.44901	2.385598876	0.02610091684	1.236288047	0.017454849	3.834886632	0.8039224624	13.08867846	2.886705604	3.835115829	0.8030783956	8.70297602
3	5.039549873	0.008889841824	77621.74735	465.0339319	2.074620358	0.0101982341	0.4333233694	0.0258459248	0.4933494501	0.03060785132	0.05595018101	0.002555424583	0.04759487315	0.002099671316	4.982619224
4	5.043038881	0.008514376433	87256.23754	2875.377435	2.223106491	0.02236294501	0.9494972385	0.06049604889	1.194079852	0.1253535131	0.07140600083	0.004687540557	0.06928211424	0.004520167314	6.558683521
5	5.026705725	0.008668418865	89029.89296	425.056607	2.160610834	0.01012694162	1.087609682	0.02187453854	1.391805265	0.02844330492	0.0886201961	0.005665923212	0.09061600967	0.005812040281	7.655095339
6	5.058541095	0.008522541294	89568.04356	422.765583	2.208065294	0.009942307931	1.133811111	0.02527650385	1.429456409	0.03125824271	0.05542186971	0.003031789733	0.05758273464	0.00314712293	8.092131917
7	5.044022405	0.008946330702	77956.42534	499.5968182	2.070499864	0.01057922038	0.4564193547	0.03244797565	0.5162990784	0.03824654966	0.0705372661	0.003416621474	0.06226223861	0.002837027142	4.455547673
8	5.057333712	0.008027817964	89265.98075	825.3819519	2.219808769	0.009277716366	1.096207473	0.01998799982	1.397169769	0.02759753194	0.06832152392	0.01231882927	0.06786961377	0.01223647545	6.449006171
9	5.041844147	0.008449395995	88972.92819	231.2712706	2.135245436	0.009264012513	1.097922019	0.01673221358	1.405868437	0.02388110508	0.01005226491	0.01036517629	0.01020234603	0.01040234826	8.321206457
