#Ch. # 	 t 	 E(t) 	 A_0 	 E(A_0) 	 t_p 	 E(t_p) 	 Chi2/DOF
0	5.064598805	0.009558512953	73878.02515	465.7123507	2.092993287	0.008732635068	4.698317315
1	5.067677097	0.00901663676	74136.05593	469.7798142	2.009264401	0.00798564729	6.17388596
2	5.053149587	0.009668994426	74134.49353	467.0708905	2.104875931	0.008854004977	3.615987525
3	5.056212796	0.009150213105	73638.43199	469.3873195	2.015653802	0.008109684933	8.101898332
4	5.063416674	0.009287848743	74273.27888	464.0202272	2.098206154	0.00861348998	4.779097027
5	5.051373461	0.009350775833	74191.57765	472.3666181	2.021705634	0.008201698551	3.370185632
6	5.066272866	0.009218369679	74640.03714	464.7866396	2.096131207	0.008556438287	2.919034366
7	5.058312025	0.009139275285	73951.08174	470.2809853	2.016020169	0.008100857396	2.754281599
8	5.072243222	0.008894296617	74388.31729	460.6652444	2.095990119	0.00840548956	3.984618285
9	5.057386991	0.009249788374	74144.10683	472.0485944	2.01187053	0.008106132384	4.868047567
10	5.055931753	0.009404943465	74306.80367	467.066591	2.083912347	0.008586097905	3.688988473
11	5.06676306	0.009129952632	73738.44811	466.1582711	2.043885273	0.008244087838	6.124380073
12	5.060229119	0.009358616709	74298.1338	466.5816513	2.078539996	0.008513092835	5.501303163
13	5.067465897	0.009163152349	73857.44052	467.6598902	2.032842394	0.008189270767	4.076801943
14	5.052593453	0.009510442011	74284.12595	467.8519567	2.085428104	0.008641824778	4.517462393
15	5.054495495	0.009288580192	74024.543	468.659278	2.046961385	0.00832713741	2.722177155
16	5.064460377	0.0092184788	74158.29622	465.2752644	2.074997071	0.008442751973	4.216744603
17	5.05466413	0.009375207244	73934.81768	469.6168143	2.046374773	0.008377515836	4.216115015
18	5.049502608	0.009548210466	74557.99066	469.1825288	2.09005088	0.008689909002	4.729169704
19	5.073423729	0.008911672404	73862.43595	465.8053718	2.027062475	0.008032748036	6.390398847
20	5.044619148	0.009650182158	73558.51482	467.6328053	2.077532929	0.008698063752	3.673435139
21	5.068247964	0.009281796991	72411.55945	464.4740933	2.021200327	0.008224027707	5.642594909
22	5.060944697	0.009178715428	73493.74393	464.246355	2.063685562	0.008399506442	5.256334571
23	5.065776625	0.009180375677	72330.22652	463.1700604	2.022518855	0.008175381791	4.719149725
24	5.059552038	0.00939163451	73245.21772	464.9305071	2.063700826	0.008494661797	4.674137469
25	5.057659686	0.009358655454	72431.92773	464.6618029	2.031422622	0.008310079897	3.637835744
26	5.063859797	0.009290190359	73719.31013	465.9719453	2.057657016	0.008387944775	3.357006496
27	5.06201644	0.008987967013	72490.1053	462.039958	2.030880102	0.008142348834	4.206303187
28	5.051631773	0.00938211915	74122.65066	467.7395803	2.071482284	0.008515013212	3.726407555
29	5.049109668	0.009545768094	72128.64421	465.3171729	2.037279832	0.008449801907	4.975680554
30	5.065102468	0.009019211818	73170.99372	466.501365	2.013847748	0.008056461124	4.491558163
31	5.055861776	0.009266458188	73838.1315	467.7034556	2.051804353	0.008379754049	2.92041933
32	5.063067126	0.009023905317	73457.56655	467.6706037	2.014829776	0.008058958863	3.379855337
33	5.047482087	0.009321682238	73982.26178	468.8979929	2.054428468	0.008405673418	7.413912053
34	5.068069926	0.008944426694	73834.12124	468.3178599	2.00855156	0.007960410028	3.484698801
35	5.056655784	0.009426216614	73813.86691	469.8285476	2.041883058	0.008374663206	9.058618491
36	5.063428887	0.009099194488	73740.76559	469.111112	2.009581638	0.008029817725	5.82121671
37	5.052528814	0.009202325237	73726.41029	467.1119465	2.049866829	0.008326980749	3.23100924
38	5.065460203	0.008804847876	74050.47897	467.6930411	2.015480252	0.00793401925	4.094123622
39	5.066565996	0.009030996569	74633.38281	469.1991818	2.036529782	0.008127879678	5.191620287
40	5.044573541	0.009599225984	74343.21818	472.5727198	2.050253387	0.008477338102	5.042322617
41	4.544849027	0.01000816818	72952.26702	449.5893342	2.229201946	0.008838171476	4.9115548
42	5.052559735	0.009318465883	74985.25023	471.868428	2.047892671	0.008307870783	7.687642462
43	4.56260541	0.01010313132	73358.71667	453.5597455	2.192958451	0.008654717408	7.402838131
44	5.055913103	0.009167392308	75212.55049	472.232483	2.044358111	0.008219441596	3.074391048
45	4.545428241	0.009924846879	73147.98975	450.2516679	2.220727442	0.008741064694	2.853158467
46	5.058467821	0.00910291984	75450.14106	472.4585151	2.043803877	0.008177239821	4.710750614
47	4.532869093	0.010063248	73443.05633	446.2137339	2.232297763	0.008914896698	6.641662488
48	5.056706592	0.009358534518	75065.49983	473.1441117	2.04180232	0.0082841538	4.185104341
49	4.54756394	0.01004511853	73415.62212	452.636623	2.216580883	0.008766993645	2.945153025
50	5.044082771	0.00975789053	75321.66382	474.5967562	2.086614039	0.008746264525	5.969226922
51	5.061555229	0.009542355024	73100.19527	463.4001314	2.08451381	0.008691063886	5.764323745
52	5.039281659	0.009698498903	75341.84045	473.5303797	2.093835869	0.00876204255	4.778056909
53	5.051877108	0.009830111261	74418.34931	472.2244006	2.080092706	0.008767511519	5.529680541
